Notebook ASUS E410MA-BV1873X Intel Celeron Dual Core N4020 4GB 128GB SSD W11 14" Dream White ; R$ 2.377,18 ;  Data: 14/10/2022 
Notebook Positivo Motion Red Q464C-O Intel Atom Quad Core Windows 10 Home 14,1'' Vermelho Inclui Microsoft 365* ; R$ 1.231,65 ;  Data: 14/10/2022 
Notebook Asus, Intel Core i5 1035G1, 8GB, 512GB SSD, Tela de 15,6", Windows 11, Cinza - X515JA-EJ1791W ; R$ 3.199,00 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i Intel Celeron N4020 Dual Core, 4GB, HD 500GB, Linux, 15.6, Prata - 82BUS00000 ; R$ 1.789,99 ;  Data: 14/10/2022 
Kit Notebook Dell Inspiron 15 i1101-M20SC 15.6” FHD Touch 11ª geração Intel Core i5 8GB 256GB SSD Windows 11 com Capa ; R$ 4.755,60 ;  Data: 14/10/2022 
Notebook Gamer 82CGS00100 Core i5 8GB 256GB SSD GeForce GTX 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo ; R$ 4.089,51 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 i5-1135G7 8GB 256GB SSD W11 15,6" ; R$ 4.199,90 ;  Data: 14/10/2022 
Notebook Dell Inspiron 15 3000 a0700-MM20S 15.6" FHD AMD Ryzen 7 8GB 256GB SSD Windows 11 Prata ; R$ 3.679,20 ;  Data: 14/10/2022 
Notebook Gamer Dell G15-a0500-MM10P 15.6" FHD AMD Ryzen 5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11 ; R$ 6.056,10 ;  Data: 14/10/2022 
Notebook HP Intel Core i5-6300, 8GB, SSD 240GB ; R$ 3.006,51 ;  Data: 14/10/2022 
Notebook Lenovo Thinkpad T470 Intel Core i5-6300U RAM 8GB SSD 240GB Windows 10 Pro ; R$ 2.690,67 ;  Data: 14/10/2022 
Notebook Gamer Legion 5i i7-11800H 16GB 512GB SSD RTX3060 6GB W11 15.6" Full HD WVA 82MH0000BR - Lenovo ; R$ 8.279,10 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i i3-10110U 4GB 256GB W11 15.6" - 82BS000JBR ; R$ 2.699,90 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3i Celeron 4GB 128GB SSD Windows 11 15 Prata ; R$ 1.939,03 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad3i 82BS0002BR Intel Core i3 - 4GB 1TB 15,6” LCD Windows 10 ; R$ 2.609,10 ;  Data: 14/10/2022 
Notebook Samsung Book NP550XDA-KS1BR Intel Core i7 - 8GB 256GB SSD 15,6” Full HD LED Windows 10 ; R$ 4.319,10 ;  Data: 14/10/2022 
Notebook 2 em 1 Positivo DUO C4128B Intel Celeron Dual-Core Windows 11 Home Full HD 11.6" Touchscreen - Cinza - Inclui Microsoft 365* ; R$ 1.529,15 ;  Data: 14/10/2022 
